File,Location,Pass(Y/N),Error,ErrorLocation,Row,Column
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"A camera deployment must have a sub-project Id","/CameraTrapDeployment[1]","2","23"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"A camera deployment must have a sub-project name","/CameraTrapDeployment[1]","2","23"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"Image Sequence Begin Date must be a valid date time format.","/CameraTrapDeployment[1]/ImageSequence[1]/ImageSequenceBeginTime[1]","62","33"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"Image Sequence Begin Date must be a valid date time format.","/CameraTrapDeployment[1]/ImageSequence[2]/ImageSequenceBeginTime[1]","137","33"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"Image Sequence End Date must be a valid date time format.","/CameraTrapDeployment[1]/ImageSequence[1]/ImageSequenceEndTime[1]","63","31"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"Image Sequence End Date must be a valid date time format.","/CameraTrapDeployment[1]/ImageSequence[2]/ImageSequenceEndTime[1]","138","31"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"A identification must have an IUCNId","/CameraTrapDeployment[1]/ImageSequence[1]/VolunteerIdentifications[1]/Identification[1]","65","29"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"An identification must have a TSN Id","/CameraTrapDeployment[1]/ImageSequence[1]/VolunteerIdentifications[1]/Identification[1]","65","29"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"An identification must have a scientific name","/CameraTrapDeployment[1]/ImageSequence[1]/VolunteerIdentifications[1]/Identification[1]","65","29"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"An identification must have a common name","/CameraTrapDeployment[1]/ImageSequence[1]/VolunteerIdentifications[1]/Identification[1]","65","29"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"An identification must have a count","/CameraTrapDeployment[1]/ImageSequence[1]/VolunteerIdentifications[1]/Identification[1]","65","29"
WCSDeploymentManifestSample2015Final_ok.xml,/users/beth/desktop/test/WCSDeploymentManifestSample2015Final_ok.xml,N,"A Count must be a number and greater than 0","/CameraTrapDeployment[1]/ImageSequence[1]/VolunteerIdentifications[1]/Identification[1]","65","29"
